CPU,%user
all,21.14
0,36.36
1,2.91
2,0.00
3,0.99
4,4.04
5,68.00
6,1.01
7,0.99
8,100.00
9,3.88
10,3.92
11,33.00
all,27.26
0,97.03
1,27.55
2,88.00
3,2.00
4,0.00
5,29.29
6,3.00
7,0.00
8,0.00
9,2.00
10,1.00
11,76.00
all,27.47
0,100.00
1,88.00
2,4.00
3,35.00
4,0.99
5,0.00
6,1.00
7,0.99
8,0.99
9,0.00
10,0.00
11,100.00
all,27.27
0,74.75
1,34.65
2,1.00
3,68.32
4,1.00
5,1.01
6,12.12
7,1.01
8,0.99
9,32.00
10,0.00
11,100.00
all,28.10
0,24.00
1,100.00
2,1.01
3,13.27
4,1.98
5,0.99
6,16.50
7,0.00
8,1.01
9,88.12
10,2.02
11,88.00
all,33.28
0,100.00
1,100.00
2,1.96
3,82.18
4,0.99
5,48.48
6,0.00
7,1.00
8,2.00
9,17.17
10,1.98
11,44.00
all,35.20
0,99.00
1,100.00
2,1.02
3,12.12
4,1.01
5,2.00
6,1.98
7,1.00
8,3.00
9,100.00
10,0.00
11,100.00
all,33.86
0,44.00
1,100.00
2,1.00
3,0.99
4,1.98
5,0.00
6,56.00
7,0.99
8,1.98
9,100.00
10,0.99
11,100.00
all,35.17
0,84.00
1,100.00
2,42.00
3,0.00
4,2.02
5,7.84
6,21.21
7,1.00
8,28.28
9,100.00
10,2.00
11,33.33
all,33.92
0,100.00
1,37.37
2,1.00
3,1.00
4,1.01
5,1.01
6,0.00
7,64.00
8,100.00
9,100.00
10,0.00
11,0.00
all,35.09
0,97.00
1,0.99
2,21.00
3,57.43
4,3.03
5,4.08
6,11.11
7,100.00
8,79.00
9,43.56
10,2.02
11,1.00
all,34.05
0,92.08
1,1.01
2,1.01
3,100.00
4,1.98
5,1.00
6,8.00
7,100.00
8,100.00
9,1.00
10,1.98
11,0.99
all,34.67
0,83.84
1,1.98
2,22.00
3,100.00
4,1.01
5,5.00
6,18.00
7,100.00
8,78.00
9,0.00
10,3.06
11,3.00
all,33.78
0,100.00
1,1.00
2,100.00
3,100.00
4,0.00
5,0.00
6,1.00
7,99.01
8,0.00
9,0.99
10,0.00
11,1.98
all,35.61
0,100.00
1,2.00
2,100.00
3,100.00
4,3.96
5,3.96
6,10.00
7,100.00
8,3.00
9,1.00
10,1.98
11,2.02
all,33.86
0,97.00
1,1.00
2,55.45
3,80.00
4,1.00
5,0.00
6,3.03
7,100.00
8,45.54
9,21.00
10,0.00
11,1.00
all,35.38
0,82.00
1,46.53
2,29.29
3,17.00
4,2.97
5,1.00
6,19.00
7,55.00
8,71.00
9,83.17
10,3.92
11,14.00
all,33.72
0,100.00
1,100.00
2,0.00
3,90.91
4,0.00
5,1.01
6,0.00
7,0.99
8,100.00
9,9.18
10,2.00
11,0.00
all,35.14
0,84.16
1,56.57
2,1.98
3,0.00
4,1.00
5,1.00
6,17.17
7,46.46
8,100.00
9,100.00
10,7.07
11,6.00
all,33.86
0,69.00
1,32.32
2,0.00
3,0.99
4,1.00
5,1.01
6,32.00
7,67.00
8,100.00
9,100.00
10,2.00
11,1.00
all,34.00
0,53.54
1,2.97
2,54.00
3,0.00
4,0.00
5,1.00
6,46.53
7,100.00
8,47.00
9,100.00
10,1.98
11,1.01
all,33.78
0,84.00
1,1.00
2,32.00
3,0.99
4,1.00
5,0.00
6,16.16
7,100.00
8,68.69
9,100.00
10,1.98
11,0.00
all,34.69
0,100.00
1,8.91
2,83.00
3,2.02
4,1.01
5,2.00
6,0.98
7,100.00
8,17.65
9,100.00
10,0.00
11,0.99
all,33.75
0,100.00
1,0.99
2,72.00
3,0.00
4,1.00
5,1.00
6,0.00
7,100.00
8,28.28
9,100.00
10,1.00
11,1.00
all,35.17
0,97.03
1,1.01
2,2.00
3,8.00
4,1.01
5,7.00
6,8.00
7,100.00
8,100.00
9,94.00
10,1.98
11,1.00
all,33.72
0,61.62
1,19.80
2,1.01
3,100.00
4,0.99
5,1.01
6,39.00
7,80.81
8,100.00
9,0.00
10,0.00
11,0.00
all,33.78
0,73.27
1,70.00
2,3.00
3,100.00
4,0.00
5,0.00
6,27.27
7,29.70
8,100.00
9,1.00
10,0.00
11,0.99
all,33.56
0,30.69
1,100.00
2,47.00
3,100.00
4,0.99
5,0.99
6,69.00
7,0.00
8,53.00
9,0.00
10,1.00
11,0.00
all,34.59
0,100.00
1,100.00
2,100.00
3,100.00
4,4.04
5,3.09
6,2.02
7,0.00
8,1.01
9,0.99
10,1.02
11,1.00
all,33.92
0,97.98
1,100.00
2,55.88
3,100.00
4,1.98
5,1.01
6,4.00
7,1.00
8,43.00
9,0.00
10,2.00
11,0.00
all,34.70
0,100.00
1,100.00
2,0.00
3,100.00
4,1.01
5,2.97
6,2.00
7,0.99
8,100.00
9,1.00
10,4.08
11,3.92
all,33.94
0,100.00
1,100.00
2,0.00
3,100.00
4,0.00
5,0.00
6,1.00
7,1.96
8,100.00
9,1.00
10,0.00
11,3.00
all,34.22
0,94.00
1,89.90
2,0.00
3,100.00
4,7.84
5,1.01
6,5.94
7,11.88
8,100.00
9,0.00
10,1.00
11,0.99
all,33.75
0,48.51
1,100.00
2,0.00
3,100.00
4,0.00
5,1.01
6,52.53
7,0.00
8,100.00
9,1.00
10,0.00
11,1.01
all,34.08
0,80.81
1,79.00
2,15.69
3,55.00
4,2.00
5,1.98
6,20.79
7,22.00
8,84.16
9,46.46
10,1.00
11,1.00
all,33.83
0,100.00
1,100.00
2,100.00
3,0.00
4,0.00
5,0.00
6,1.01
7,1.94
8,0.00
9,100.00
10,1.01
11,1.98
all,34.55
0,94.00
1,10.00
2,100.00
3,0.00
4,2.00
5,4.00
6,11.65
7,91.00
8,1.00
9,100.00
10,1.96
11,0.00
all,34.17
0,56.00
1,100.00
2,58.00
3,1.00
4,2.97
5,1.98
6,45.45
7,0.00
8,42.42
9,100.00
10,1.01
11,1.01
all,34.48
0,89.11
1,100.00
2,100.00
3,1.00
4,1.01
5,6.12
6,10.89
7,1.01
8,1.00
9,100.00
10,1.01
11,1.01
all,33.83
0,100.00
1,78.22
2,66.00
3,0.00
4,1.02
5,1.01
6,2.00
7,21.00
8,33.33
9,100.00
10,1.98
11,0.00
all,34.08
0,66.34
1,92.00
2,1.00
3,0.00
4,5.00
5,1.00
6,1.96
7,11.11
8,100.00
9,100.00
10,29.00
11,1.98
all,33.70
0,0.00
1,27.00
2,6.06
3,0.99
4,1.00
5,0.00
6,0.00
7,72.28
8,95.00
9,100.00
10,100.00
11,0.00
all,33.92
0,0.00
1,29.70
2,0.00
3,14.14
4,0.00
5,1.00
6,1.01
7,72.28
8,100.00
9,86.00
10,100.00
11,2.00
all,34.06
0,1.00
1,100.00
2,0.00
3,100.00
4,1.00
5,0.99
6,0.00
7,2.02
8,99.01
9,0.00
10,100.00
11,3.00
all,34.31
0,2.00
1,100.00
2,2.00
3,100.00
4,8.00
5,1.01
6,2.00
7,1.01
8,100.00
9,1.00
10,92.08
11,2.00
all,33.64
0,0.00
1,0.00
2,1.01
3,100.00
4,100.00
5,0.99
6,1.01
7,100.00
8,100.00
9,0.00
10,0.00
11,0.00
all,34.97
0,2.97
1,9.09
2,28.00
3,73.27
4,100.00
5,2.97
6,5.88
7,92.00
8,72.28
9,27.00
10,0.00
11,6.00
all,34.84
0,1.00
1,100.00
2,14.14
3,1.01
4,99.01
5,2.02
6,2.00
7,2.02
8,87.00
9,100.00
10,1.00
11,7.00
all,34.33
0,2.00
1,100.00
2,35.64
3,0.98
4,100.00
5,1.01
6,3.00
7,1.00
8,65.00
9,100.00
10,1.00
11,2.97
all,33.78
0,1.00
1,48.00
2,71.00
3,1.00
4,100.00
5,0.99
6,0.99
7,53.06
8,29.00
9,100.00
10,0.99
11,0.00
all,36.64
0,6.00
1,5.88
2,39.00
3,4.04
4,79.00
5,5.10
6,4.08
7,100.00
8,65.00
9,100.00
10,24.75
11,6.00
all,33.72
0,1.00
1,0.00
2,84.00
3,1.00
4,86.00
5,1.98
6,0.00
7,100.00
8,15.84
9,100.00
10,14.14
11,0.99
all,34.33
0,1.01
1,41.00
2,100.00
3,11.11
4,100.00
5,0.00
6,1.96
7,58.82
8,1.96
9,89.00
10,3.96
11,3.00
all,34.53
0,3.00
1,100.00
2,60.00
3,100.00
4,95.00
5,0.98
6,4.04
7,1.01
8,40.40
9,0.99
10,6.00
11,3.03
all,35.49
0,1.01
1,100.00
2,100.00
3,99.01
4,100.00
5,1.02
6,4.04
7,4.90
8,2.04
9,1.02
10,7.07
11,2.04
all,34.30
0,1.96
1,90.00
2,100.00
3,90.00
4,94.95
5,0.99
6,0.99
7,12.00
8,0.99
9,11.76
10,10.00
11,0.99
all,34.09
0,0.00
1,6.06
2,99.00
3,100.00
4,94.00
5,1.00
6,2.97
7,93.94
8,1.01
9,0.99
10,10.10
11,0.99
all,34.19
0,1.98
1,8.00
2,64.00
3,100.00
4,0.99
5,1.00
6,2.00
7,93.00
8,40.00
9,0.00
10,99.01
11,0.99
all,34.08
0,2.00
1,65.66
2,35.29
3,100.00
4,2.02
5,1.98
6,1.01
7,35.00
8,65.35
9,0.00
10,100.00
11,0.00
all,33.92
0,0.00
1,100.00
2,78.79
3,50.50
4,0.99
5,1.01
6,1.98
7,0.99
8,22.00
9,50.00
10,100.00
11,1.00
all,34.06
0,1.00
1,100.00
2,100.00
3,1.01
4,1.01
5,1.00
6,1.00
7,0.00
8,1.00
9,99.01
10,100.00
11,2.00
all,33.78
0,1.00
1,100.00
2,99.01
3,100.00
4,0.00
5,1.00
6,1.00
7,0.98
8,0.00
9,0.00
10,100.00
11,1.00
all,33.94
0,0.00
1,100.00
2,91.09
3,100.00
4,51.49
5,0.00
6,1.00
7,0.00
8,10.00
9,0.99
10,49.00
11,3.03
all,33.64
0,0.00
1,100.00
2,25.25
3,100.00
4,100.00
5,1.00
6,0.99
7,1.00
8,74.26
9,0.00
10,0.00
11,0.00
all,34.28
0,1.00
1,100.00
2,100.00
3,100.00
4,8.91
5,1.01
6,0.00
7,1.98
8,0.00
9,0.99
10,96.04
11,1.00
all,34.48
0,1.01
1,100.00
2,100.00
3,100.00
4,9.09
5,1.00
6,0.98
7,1.01
8,0.00
9,0.00
10,100.00
11,0.00
all,34.08
0,3.96
1,95.05
2,100.00
3,100.00
4,0.00
5,1.01
6,0.00
7,4.90
8,1.00
9,1.00
10,100.00
11,1.00
all,34.63
0,2.97
1,7.07
2,100.00
3,19.00
4,0.00
5,1.96
6,0.99
7,100.00
8,1.00
9,83.00
10,100.00
11,0.99
all,34.20
0,1.01
1,0.99
2,4.04
3,1.00
4,1.00
5,0.00
6,3.00
7,100.00
8,96.97
9,100.00
10,100.00
11,2.00
all,33.67
0,1.00
1,0.00
2,0.00
3,1.00
4,0.00
5,1.00
6,0.00
7,100.00
8,100.00
9,100.00
10,100.00
11,0.99
all,34.03
0,0.99
1,0.99
2,1.00
3,1.00
4,2.02
5,2.00
6,0.99
7,99.01
8,100.00
9,100.00
10,100.00
11,0.00
all,33.72
0,0.00
1,55.45
2,0.00
3,0.00
4,0.00
5,2.91
6,0.00
7,45.45
8,100.00
9,100.00
10,100.00
11,1.01
all,33.92
0,1.01
1,100.00
2,2.00
3,5.88
4,0.00
5,1.00
6,2.02
7,0.00
8,100.00
9,94.00
10,100.00
11,0.98
all,33.84
0,1.98
1,100.00
2,0.00
3,69.00
4,1.00
5,1.01
6,0.00
7,0.00
8,100.00
9,31.31
10,100.00
11,1.01
all,34.08
0,0.00
1,100.00
2,1.96
3,0.00
4,1.00
5,2.00
6,1.00
7,1.00
8,100.00
9,100.00
10,100.00
11,2.00
all,35.39
0,0.00
1,60.40
2,10.10
3,1.01
4,0.00
5,7.84
6,4.04
7,39.00
8,100.00
9,100.00
10,100.00
11,0.99
all,33.70
0,1.00
1,1.01
2,0.99
3,0.00
4,0.00
5,1.01
6,0.00
7,100.00
8,100.00
9,100.00
10,100.00
11,0.00
all,34.14
0,1.00
1,100.00
2,1.00
3,2.02
4,0.00
5,1.01
6,1.98
7,0.99
8,100.00
9,100.00
10,100.00
11,1.01
all,33.69
0,0.00
1,100.00
2,1.00
3,0.00
4,1.00
5,0.99
6,0.99
7,0.00
8,100.00
9,99.01
10,100.00
11,1.00
all,34.17
0,1.98
1,100.00
2,2.00
3,44.00
4,0.00
5,2.02
6,0.99
7,1.01
8,100.00
9,57.43
10,100.00
11,0.00
all,33.64
0,0.00
1,62.00
2,38.00
3,36.00
4,38.61
5,0.00
6,0.00
7,39.00
8,62.00
9,64.65
10,62.00
11,0.00
all,34.17
0,3.03
1,0.00
2,26.73
3,100.00
4,52.00
5,1.01
6,0.00
7,100.00
8,76.00
9,1.00
10,48.48
11,1.00
all,33.56
0,0.00
1,51.00
2,0.00
3,100.00
4,97.00
5,0.99
6,1.00
7,49.00
8,100.00
9,0.00
10,3.96
11,0.00
all,33.97
0,2.00
1,18.00
2,2.02
3,100.00
4,0.00
5,1.00
6,1.01
7,82.00
8,100.00
9,1.00
10,100.00
11,0.00
all,33.44
0,0.00
1,100.00
2,0.00
3,100.00
4,0.00
5,0.00
6,0.00
7,0.00
8,100.00
9,0.00
10,100.00
11,0.00
all,34.22
0,2.00
1,39.39
2,1.01
3,90.00
4,0.00
5,1.01
6,2.97
7,62.00
8,100.00
9,10.10
10,100.00
11,1.96
all,33.97
0,0.00
1,81.00
2,1.98
3,0.99
4,0.00
5,1.98
6,1.02
7,20.79
8,100.00
9,100.00
10,100.00
11,0.00
all,35.47
0,3.00
1,1.00
2,13.86
3,0.00
4,0.99
5,1.00
6,3.96
7,100.00
8,100.00
9,100.00
10,100.00
11,2.02
all,33.67
0,1.00
1,1.00
2,0.00
3,1.00
4,0.00
5,1.00
6,0.00
7,100.00
8,100.00
9,100.00
10,100.00
11,0.00
all,33.89
0,2.00
1,26.00
2,42.00
3,42.00
4,1.00
5,0.00
6,1.00
7,74.75
8,58.59
9,59.00
10,100.00
11,1.00
all,33.47
0,1.00
1,100.00
2,100.00
3,65.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,35.00
10,100.00
11,0.98
all,39.07
0,8.08
1,100.00
2,100.00
3,43.14
4,6.06
5,12.12
6,10.00
7,8.00
8,6.06
9,64.00
10,99.01
11,10.10
all,33.67
0,0.00
1,78.00
2,100.00
3,70.00
4,43.43
5,1.00
6,1.01
7,22.00
8,0.00
9,29.70
10,57.00
11,1.01
all,34.08
0,3.00
1,61.00
2,23.23
3,0.00
4,100.00
5,1.00
6,1.00
7,40.40
8,77.23
9,100.00
10,0.99
11,1.00
all,33.75
0,0.00
1,100.00
2,36.00
3,1.01
4,100.00
5,2.02
6,0.00
7,0.00
8,65.00
9,100.00
10,0.00
11,0.00
all,35.06
0,7.07
1,100.00
2,100.00
3,0.00
4,55.00
5,1.00
6,6.93
7,2.00
8,0.99
9,100.00
10,45.45
11,2.02
all,33.47
0,0.00
1,12.00
2,100.00
3,0.00
4,0.00
5,0.00
6,0.00
7,89.00
8,0.00
9,100.00
10,100.00
11,0.00
all,34.55
0,1.00
1,0.99
2,100.00
3,0.98
4,0.00
5,3.96
6,1.01
7,100.00
8,4.00
9,100.00
10,100.00
11,3.92
all,33.61
0,0.00
1,3.96
2,100.00
3,0.00
4,0.99
5,1.00
6,1.00
7,96.00
8,0.00
9,100.00
10,100.00
11,0.00
all,34.03
0,1.01
1,100.00
2,81.82
3,26.26
4,1.00
5,1.00
6,0.00
7,3.00
8,19.00
9,74.75
10,100.00
11,1.01
all,33.50
0,0.00
1,100.00
2,0.99
3,67.00
4,96.04
5,0.00
6,0.00
7,0.00
8,100.00
9,33.00
10,3.96
11,0.00
all,35.14
0,1.00
1,100.00
2,61.00
3,5.05
4,100.00
5,2.97
6,1.98
7,0.00
8,46.53
9,100.00
10,0.00
11,3.00
all,33.58
0,0.00
1,80.81
2,41.00
3,0.00
4,100.00
5,0.00
6,1.00
7,20.00
8,59.41
9,100.00
10,0.00
11,0.00
all,34.14
0,0.99
1,1.00
2,4.95
3,0.00
4,81.82
5,3.00
6,0.00
7,100.00
8,98.00
9,100.00
10,20.00
11,0.00
all,33.89
0,1.00
1,0.00
2,22.77
3,0.99
4,100.00
5,0.99
6,0.00
7,100.00
8,79.80
9,99.01
10,1.01
11,0.99
all,33.94
0,0.99
1,0.99
2,0.00
3,63.64
4,100.00
5,0.00
6,1.00
7,99.01
8,100.00
9,36.36
10,2.00
11,3.00
all,33.89
0,1.01
1,64.36
2,78.00
3,100.00
4,99.01
5,0.00
6,1.01
7,36.36
8,22.00
9,1.00
10,2.94
11,0.00
all,34.03
0,1.01
1,42.00
2,100.00
3,100.00
4,100.00
5,0.00
6,1.96
7,57.43
8,3.03
9,0.00
10,0.00
11,1.96
all,33.64
0,1.00
1,78.79
2,100.00
3,22.00
4,100.00
5,0.00
6,0.00
7,22.22
8,0.00
9,78.00
10,0.00
11,1.00
all,34.33
0,2.02
1,30.00
2,100.00
3,0.00
4,100.00
5,0.99
6,1.98
7,70.30
8,4.95
9,100.00
10,0.00
11,1.01
all,33.67
0,0.00
1,0.00
2,92.00
3,9.00
4,100.00
5,0.00
6,1.00
7,100.00
8,9.00
9,91.09
10,0.00
11,1.00
all,33.86
0,2.02
1,30.00
2,1.00
3,99.01
4,12.87
5,1.01
6,1.00
7,69.70
8,100.00
9,0.00
10,87.13
11,1.00
all,34.30
0,1.00
1,0.00
2,5.00
3,27.72
4,0.00
5,73.27
6,1.98
7,100.00
8,100.00
9,1.01
10,100.00
11,1.00
all,34.80
0,3.96
1,35.64
2,1.96
3,0.00
4,1.00
5,95.00
6,2.94
7,68.32
8,100.00
9,3.06
10,100.00
11,5.10
all,33.86
0,1.00
1,100.00
2,0.00
3,1.00
4,0.00
5,100.00
6,1.00
7,1.01
8,99.01
9,1.00
10,100.00
11,0.99
all,39.55
0,7.07
1,100.00
2,9.00
3,10.00
4,60.61
5,65.66
6,10.10
7,7.00
8,100.00
9,11.00
10,48.00
11,46.00
all,33.61
0,0.00
1,100.00
2,0.00
3,0.00
4,100.00
5,42.00
6,1.01
7,0.00
8,100.00
9,0.00
10,0.00
11,58.42
all,34.36
0,2.00
1,100.00
2,2.02
3,1.94
4,11.11
5,74.00
6,2.00
7,1.00
8,100.00
9,1.98
10,90.00
11,27.00
all,33.64
0,0.00
1,100.00
2,41.00
3,1.00
4,1.00
5,0.99
6,0.00
7,0.99
8,59.00
9,0.00
10,100.00
11,100.00
all,35.05
0,2.00
1,66.00
2,71.00
3,7.00
4,0.99
5,3.96
6,7.84
7,34.34
8,29.29
9,1.01
10,100.00
11,98.00
all,33.70
0,0.00
1,1.01
2,1.00
3,0.00
4,0.00
5,100.00
6,0.00
7,100.00
8,100.00
9,1.00
10,100.00
11,0.00
all,34.88
0,4.95
1,21.78
2,0.00
3,0.99
4,2.02
5,100.00
6,1.00
7,79.00
8,100.00
9,8.00
10,100.00
11,1.96
all,33.36
0,0.00
1,100.00
2,0.99
3,0.00
4,35.64
5,100.00
6,0.99
7,0.00
8,100.00
9,0.00
10,64.00
11,0.99
all,34.22
0,2.04
1,100.00
2,0.00
3,1.01
4,100.00
5,100.00
6,1.00
7,1.00
8,100.00
9,3.92
10,0.00
11,1.00
all,33.89
0,1.98
1,100.00
2,0.00
3,1.00
4,100.00
5,100.00
6,1.01
7,1.00
8,100.00
9,0.00
10,0.99
11,0.99
all,34.00
0,3.96
1,86.14
2,0.00
3,0.00
4,100.00
5,100.00
6,1.01
7,14.00
8,100.00
9,0.00
10,0.99
11,0.00
all,33.61
0,0.00
1,100.00
2,1.00
3,0.00
4,86.87
5,100.00
6,0.99
7,0.99
8,100.00
9,0.98
10,14.00
11,0.00
all,34.05
0,1.01
1,56.44
2,0.99
3,3.03
4,24.75
5,57.43
6,0.00
7,43.43
8,100.00
9,1.00
10,76.77
11,43.56
all,33.75
0,0.00
1,1.00
2,38.00
3,2.00
4,7.92
5,100.00
6,1.00
7,100.00
8,62.38
9,0.00
10,92.00
11,0.00
all,34.08
0,0.00
1,4.00
2,6.00
3,3.92
4,0.00
5,100.00
6,1.00
7,97.03
8,95.00
9,0.00
10,100.00
11,1.00
all,33.67
0,1.00
1,10.00
2,0.00
3,1.98
4,25.25
5,100.00
6,0.00
7,90.00
8,100.00
9,0.99
10,75.00
11,0.00
all,34.00
0,0.99
1,18.18
2,1.00
3,1.00
4,100.00
5,100.00
6,0.00
7,82.00
8,100.00
9,3.03
10,0.00
11,1.00
all,33.55
0,0.00
1,100.00
2,0.00
3,1.00
4,88.12
5,100.00
6,1.00
7,0.00
8,100.00
9,0.00
10,11.88
11,0.99
all,33.92
0,1.96
1,100.00
2,0.99
3,0.00
