buff/cache
429
411
408
400
400
400
400
397
398
398
393
391
393
393
391
389
391
389
389
387
387
387
385
385
387
385
387
387
385
383
385
383
387
385
385
387
387
385
385
385
383
383
383
381
383
383
383
385
385
385
387
387
386
383
385
383
383
381
383
383
383
383
383
383
383
383
383
381
387
387
387
383
387
383
387
387
384
385
385
383
381
383
383
383
383
383
381
383
383
383
381
383
383
383
381
383
383
383
383
383
385
387
387
385
383
385
383
383
383
387
387
385
383
386
383
383
383
381
379
381
381
381
381
381
379
381
381
381
379
381
381
381
381
381
379
381
381
381
379
381
381
381
379
383
383
383
383
381
383
383
383
383
387
387
385
383
383
379
381
381
381
381
381
379
381
381
381
385
385
385
383
381
381
381
381
381
381
379
381
381
381
381
381
379
381
381
381
381
386
387
