CPU,%user
all,24.13
0,6.73
1,3.00
2,12.87
3,3.03
4,5.94
5,46.00
6,5.88
7,3.00
8,42.00
9,4.04
10,100.00
11,58.00
all,29.26
0,3.06
1,2.00
2,2.00
3,1.02
4,2.02
5,1.01
6,3.96
7,51.49
8,100.00
9,4.00
10,79.00
11,100.00
all,29.14
0,2.00
1,91.92
2,9.00
3,3.92
4,45.54
5,1.96
6,2.02
7,11.00
8,100.00
9,2.02
10,3.00
11,79.00
all,37.36
0,40.00
1,100.00
2,4.08
3,45.00
4,75.00
5,4.04
6,5.05
7,5.00
8,80.00
9,5.88
10,30.69
11,53.00
all,42.82
0,46.00
1,54.90
2,51.49
3,100.00
4,100.00
5,6.00
6,5.94
7,34.00
8,5.94
9,5.00
10,5.00
11,100.00
all,47.88
0,93.14
1,46.46
2,61.76
3,100.00
4,88.00
5,8.91
6,9.90
7,13.13
8,45.54
9,4.04
10,2.97
11,100.00
all,43.88
0,98.99
1,3.00
2,63.00
3,63.00
4,5.00
5,51.00
6,5.00
7,100.00
8,41.00
9,5.94
10,51.00
11,40.59
all,39.01
0,77.00
1,2.00
2,9.09
3,23.00
4,2.02
5,5.10
6,23.00
7,100.00
8,87.13
9,32.67
10,100.00
11,5.05
all,44.93
0,52.53
1,6.00
2,27.55
3,41.41
4,13.13
5,57.00
6,18.18
7,91.00
8,58.16
9,65.00
10,100.00
11,8.91
all,59.65
0,99.00
1,54.00
2,18.81
3,100.00
4,14.14
5,85.00
6,16.16
7,66.00
8,100.00
9,32.35
10,100.00
11,30.69
all,68.17
0,100.00
1,99.01
2,79.59
3,100.00
4,37.37
5,3.96
6,5.00
7,100.00
8,26.26
9,100.00
10,67.00
11,100.00
all,70.18
0,100.00
1,100.00
2,100.00
3,100.00
4,24.24
5,67.68
6,10.20
7,100.00
8,9.90
9,100.00
10,85.86
11,44.55
all,66.69
0,80.00
1,99.00
2,69.31
3,27.45
4,100.00
5,93.00
6,14.00
7,26.26
8,38.00
9,100.00
10,99.01
11,54.46
all,70.29
0,74.26
1,40.59
2,12.12
3,12.00
4,81.19
5,100.00
6,37.00
7,86.27
8,100.00
9,99.01
10,100.00
11,100.00
all,68.36
0,86.00
1,100.00
2,3.96
3,5.00
4,34.69
5,100.00
6,17.00
7,100.00
8,100.00
9,100.00
10,74.00
11,100.00
all,70.39
0,100.00
1,100.00
2,23.00
3,90.00
4,71.72
5,100.00
6,17.82
7,99.01
8,88.00
9,9.00
10,46.46
11,100.00
all,68.34
0,72.73
1,100.00
2,46.46
3,37.00
4,79.00
5,99.01
6,31.00
7,100.00
8,57.14
9,70.71
10,26.73
11,100.00
all,69.66
0,94.95
1,95.96
2,16.83
3,39.00
4,100.00
5,100.00
6,16.16
7,74.49
8,92.93
9,100.00
10,5.10
11,100.00
all,68.19
0,96.08
1,100.00
2,46.94
3,100.00
4,57.00
5,100.00
6,6.86
7,12.00
8,55.56
9,100.00
10,44.00
11,100.00
all,70.13
0,100.00
1,100.00
2,9.90
3,100.00
4,89.11
5,79.00
6,75.76
7,9.18
8,99.01
9,100.00
10,7.29
11,68.69
all,67.28
0,100.00
1,100.00
2,1.02
3,100.00
4,100.00
5,100.00
6,100.00
7,1.00
8,99.01
9,100.00
10,3.92
11,2.00
all,67.42
0,100.00
1,100.00
2,3.88
3,100.00
4,100.00
5,100.00
6,100.00
7,4.04
8,100.00
9,100.00
10,0.00
11,2.00
all,67.08
0,100.00
1,100.00
2,1.01
3,100.00
4,100.00
5,100.00
6,100.00
7,1.98
8,100.00
9,100.00
10,0.99
11,1.01
all,68.36
0,100.00
1,100.00
2,6.06
3,100.00
4,100.00
5,100.00
6,100.00
7,4.04
8,100.00
9,100.00
10,4.95
11,4.04
all,70.46
0,100.00
1,100.00
2,35.00
3,100.00
4,94.00
5,100.00
6,100.00
7,12.12
8,72.73
9,100.00
10,20.20
11,10.10
all,69.97
0,100.00
1,99.01
2,100.00
3,100.00
4,12.12
5,100.00
6,100.00
7,8.16
8,9.90
9,100.00
10,100.00
11,9.00
all,68.39
0,100.00
1,100.00
2,100.00
3,100.00
4,10.00
5,100.00
6,99.01
7,3.03
8,1.01
9,100.00
10,100.00
11,5.10
all,67.44
0,100.00
1,100.00
2,11.00
3,99.01
4,2.97
5,100.00
6,100.00
7,2.02
8,93.00
9,100.00
10,100.00
11,1.98
all,67.61
0,100.00
1,99.00
2,2.04
3,100.00
4,24.24
5,100.00
6,100.00
7,4.00
8,100.00
9,99.01
10,78.00
11,3.00
all,68.28
0,100.00
1,4.04
2,6.00
3,100.00
4,100.00
5,88.12
6,100.00
7,100.00
8,100.00
9,100.00
10,3.00
11,17.17
all,67.83
0,100.00
1,4.04
2,52.48
