CPU,%user
11,100.00
all,99.50
0,99.00
1,100.00
2,100.00
3,100.00
4,99.01
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,97.00
11,99.00
all,99.33
0,100.00
1,100.00
2,100.00
3,100.00
4,98.04
5,100.00
6,97.06
7,100.00
8,100.00
9,100.00
10,96.97
11,100.00
all,99.50
0,100.00
1,100.00
2,99.01
3,99.01
4,100.00
5,99.01
6,100.00
7,100.00
8,100.00
9,100.00
10,97.03
11,100.00
all,99.08
0,96.08
1,100.00
2,98.99
3,100.00
4,98.99
5,100.00
6,99.00
7,100.00
8,100.00
9,99.01
10,98.00
11,99.01
all,99.50
0,100.00
1,100.00
2,99.01
3,100.00
4,99.01
5,100.00
6,100.00
7,100.00
8,99.00
9,100.00
10,97.03
11,100.00
all,99.33
0,99.00
1,100.00
2,99.00
3,100.00
4,98.99
5,99.00
6,100.00
7,100.00
8,98.02
9,100.00
10,97.98
11,100.00
all,99.33
0,99.01
1,100.00
2,100.00
3,100.00
4,98.00
5,99.01
6,99.00
7,100.00
8,100.00
9,100.00
10,97.03
11,100.00
all,99.67
0,100.00
1,100.00
2,98.00
3,100.00
4,98.02
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.17
0,99.00
1,100.00
2,98.02
3,100.00
4,97.98
5,100.00
6,98.02
7,100.00
8,100.00
9,100.00
10,97.03
11,100.00
all,99.75
0,100.00
1,100.00
2,98.00
3,100.00
4,100.00
5,100.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.58
0,99.01
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,98.00
7,100.00
8,100.00
9,100.00
10,98.00
11,100.00
all,99.42
0,100.00
1,100.00
2,100.00
3,100.00
4,96.04
5,100.00
6,98.99
7,100.00
8,100.00
9,100.00
10,98.00
11,100.00
all,99.58
0,100.00
1,100.00
2,98.99
3,100.00
4,98.99
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,97.00
11,100.00
all,99.33
0,99.01
1,100.00
2,100.00
3,100.00
4,97.00
5,99.00
6,100.00
7,99.01
8,100.00
9,100.00
10,99.00
11,99.00
all,99.92
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,99.00
9,100.00
10,100.00
11,100.00
all,99.42
0,100.00
1,100.00
2,100.00
3,100.00
4,98.00
5,99.01
6,99.00
7,100.00
8,98.00
9,100.00
10,99.01
11,100.00
all,99.25
0,100.00
1,99.01
2,98.02
3,100.00
4,100.00
5,100.00
6,99.00
7,100.00
8,98.00
9,100.00
10,99.00
11,98.02
all,99.50
0,100.00
1,100.00
2,99.00
3,100.00
4,100.00
5,100.00
6,98.02
7,100.00
8,97.00
9,100.00
10,100.00
11,100.00
all,99.75
0,100.00
1,100.00
2,98.99
3,100.00
4,100.00
5,100.00
6,99.00
7,100.00
8,99.00
9,100.00
10,100.00
11,100.00
all,99.25
0,100.00
1,100.00
2,99.00
3,100.00
4,98.04
5,99.01
6,100.00
7,99.01
8,99.00
9,99.01
10,98.04
11,100.00
all,99.33
0,99.00
1,100.00
2,97.03
3,100.00
4,99.00
5,100.00
6,100.00
7,100.00
8,97.00
9,100.00
10,100.00
11,100.00
all,99.17
0,100.00
1,100.00
2,98.02
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,95.00
9,100.00
10,98.02
11,99.00
all,99.25
0,100.00
1,100.00
2,100.00
3,99.01
4,100.00
5,99.00
6,99.00
7,100.00
8,98.02
9,100.00
10,100.00
11,96.00
all,99.25
0,99.01
1,100.00
2,98.02
3,100.00
4,100.00
5,98.00
6,97.03
7,100.00
8,98.99
9,100.00
10,100.00
11,100.00
all,99.50
0,100.00
1,100.00
2,99.00
3,100.00
4,100.00
5,98.00
6,99.00
7,100.00
8,98.00
9,100.00
10,100.00
11,100.00
all,99.50
0,99.00
1,99.00
2,99.00
3,100.00
4,100.00
5,99.00
6,100.00
7,100.00
8,98.00
9,100.00
10,100.00
11,100.00
all,99.42
0,98.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,97.03
7,100.00
8,99.00
9,100.00
10,100.00
11,99.01
all,99.33
0,100.00
1,100.00
2,97.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,95.00
9,100.00
10,100.00
11,100.00
all,99.00
0,98.02
1,99.01
2,98.02
3,99.01
4,98.00
5,100.00
6,100.00
7,100.00
8,97.00
9,100.00
10,100.00
11,99.01
all,99.58
0,100.00
1,100.00
2,100.00
3,99.00
4,99.00
5,100.00
6,98.99
7,100.00
8,98.00
9,100.00
10,100.00
11,100.00
all,99.58
0,100.00
1,100.00
2,98.00
3,100.00
4,99.01
5,100.00
6,99.00
7,100.00
8,98.99
9,100.00
10,100.00
11,100.00
all,99.58
0,100.00
1,100.00
2,98.99
3,100.00
4,100.00
5,100.00
6,98.00
7,100.00
8,98.04
9,100.00
10,100.00
11,100.00
all,99.33
0,98.00
1,100.00
2,97.06
3,100.00
4,100.00
5,100.00
6,98.00
7,100.00
8,100.00
9,100.00
10,99.00
11,100.00
all,99.58
0,98.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,99.01
7,100.00
8,99.01
9,100.00
10,99.00
11,100.00
all,99.25
0,98.00
1,100.00
2,99.00
3,100.00
4,100.00
5,100.00
6,98.99
7,96.04
8,100.00
9,100.00
10,99.01
11,100.00
all,99.58
0,98.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.50
0,98.99
