wtps
13.00
8.00
25.00
0.00
10.00
20.00
22.00
6.00
11.00
3.00
13.00
45.00
22.00
0.00
11.00
2.00
21.00
6.00
10.00
0.00
13.00
0.00
21.00
0.00
22.00
1.00
14.00
63.00
11.00
2.00
13.00
0.00
21.00
1.00
12.00
0.00
12.00
15.00
12.00
0.00
10.00
0.00
37.00
2.00
12.00
0.00
13.00
15.00
10.00
0.00
12.00
0.00
20.00
2.00
11.00
0.00
18.00
14.00
37.00
0.00
11.00
0.00
23.00
0.00
11.00
0.00
13.00
18.00
10.00
0.00
12.00
0.00
22.00
25.00
10.00
0.00
12.00
8.00
20.00
0.00
12.00
0.00
22.00
0.00
11.00
11.00
10.00
7.00
32.00
0.00
13.00
0.00
23.00
1.00
11.00
0.00
13.00
6.00
13.00
0.00
12.00
0.00
20.00
0.00
44.00
3.00
12.00
6.00
13.00
0.00
19.00
0.00
21.00
0.00
11.00
2.00
13.00
6.00
20.00
18.00
13.00
0.00
22.00
0.00
12.00
0.00
12.00
6.00
20.00
2.00
13.00
0.00
22.00
0.00
46.00
0.00
12.00
6.00
11.00
8.00
12.00
0.00
21.00
2.00
14.00
10.00
14.00
6.00
31.00
10.00
27.00
0.00
23.00
1.00
11.00
0.00
12.00
8.00
14.00
9.00
12.00
0.00
23.00
1.00
11.00
16.00
12.00
8.00
12.00
9.00
12.00
0.00
24.00
0.00
11.00
0.00
12.00
8.00
12.00
21.00
30.00
0.00
24.00
0.00
11.00
0.00
13.00
6.00
14.00
0.00
10.66
