wtps
18.00
1.00
17.00
51.00
11.00
9.00
11.00
10.00
12.00
3.00
10.00
0.00
14.00
8.00
12.00
9.00
12.00
11.00
82.00
0.00
11.00
0.00
15.00
2.00
12.00
9.00
11.00
11.00
10.00
0.00
11.00
0.00
13.00
3.00
14.00
2.00
19.00
11.00
21.00
0.00
12.00
0.00
15.00
0.00
11.00
0.00
20.00
12.00
11.00
23.00
10.00
0.00
19.00
0.00
11.00
0.00
22.00
9.00
11.00
0.00
4.00
7.00
17.00
6.00
32.00
0.00
21.00
11.00
4.00
7.00
4.00
7.00
17.00
0.00
11.00
0.00
13.00
11.00
4.00
6.00
33.00
8.00
10.00
7.00
4.00
6.00
7.00
20.00
4.00
6.00
5.00
7.00
7.00
11.00
0.00
26.00
2.00
33.00
10.00
11.00
0.00
12.00
7.00
11.00
0.00
13.00
0.00
32.00
1.00
12.00
35.00
10.00
6.00
12.00
2.00
12.00
0.00
25.00
0.00
12.00
0.00
12.00
6.00
12.00
2.00
12.00
15.00
32.00
0.00
12.00
0.00
11.00
2.00
23.00
2.00
12.00
0.00
32.00
0.00
12.00
0.00
42.00
2.00
17.00
0.00
11.00
0.00
22.00
11.00
11.00
0.00
11.00
2.00
19.00
0.00
11.00
16.00
22.00
25.00
11.00
0.00
12.00
2.00
17.00
18.00
11.00
0.00
23.00
11.00
15.00
0.00
11.00
36.00
21.00
0.00
11.00
0.00
23.00
10.00
11.00
2.00
12.00
0.00
18.00
0.00
11.00
3.00
38.00
13.00
19.00
10.74
